Operacion,Entrada,Salida_Fecha,Motivo,PnL_Total,Balance,Drawdown_Act,MFE_Pips,MAE_Pips,Parcial_Hit
Sell,2025-09-19 09:10:00,2025-09-22 07:20:00,Take_Profit,228.54,11411.94,1.94,48.5,2.6,True
Sell,2025-09-22 15:00:00,2025-09-23 07:00:00,BE_Matematico,-1.14,11406.08,1.99,15.7,23.9,True
Buy,2025-09-24 14:55:00,2025-09-24 16:15:00,Stop_Loss,-80.93,11320.68,2.73,9.0,16.2,False
Buy,2025-09-26 07:00:00,2025-09-26 10:45:00,BE_Matematico,-3.07,11305.05,2.86,8.2,5.8,True
Sell,2025-09-26 15:30:00,2025-09-26 16:00:00,Stop_Loss,-79.94,11221.83,3.58,2.4,19.8,False
Sell,2025-09-29 07:50:00,2025-09-29 15:45:00,BE_Matematico,-1.84,11212.42,3.66,23.7,11.6,True
Sell,2025-10-06 14:55:00,2025-10-06 16:05:00,Stop_Loss,-79.32,11129.69,4.37,2.2,20.4,False
Sell,2025-10-07 13:55:00,2025-10-08 08:10:00,Take_Profit,228.75,11353.35,2.45,61.9,0.5,True
Buy,2025-10-08 08:45:00,2025-10-08 09:20:00,Stop_Loss,-81.32,11264.52,3.21,4.7,8.9,False
Buy,2025-10-08 09:25:00,2025-10-09 16:40:00,BE_Matematico,-1.42,11257.31,3.27,37.9,18.9,True
Sell,2025-10-10 07:00:00,2025-10-10 10:55:00,BE_Matematico,-2.68,11243.77,3.39,12.2,6.9,True
Buy,2025-10-13 08:05:00,2025-10-13 09:55:00,BE_Matematico,-2.13,11233.0,3.48,11.3,7.8,True
Buy,2025-10-15 07:25:00,2025-10-15 16:00:00,BE_Matematico,-2.2,11221.87,3.58,27.0,8.2,True
Buy,2025-10-16 07:40:00,2025-10-16 10:15:00,BE_Matematico,-1.75,11213.0,3.65,10.9,9.7,True
Sell,2025-10-16 12:40:00,2025-10-17 07:00:00,BE_Matematico,-2.27,11201.48,3.75,13.4,50.8,True
Sell,2025-10-17 08:00:00,2025-10-17 08:40:00,Stop_Loss,-80.91,11110.33,4.53,1.5,6.5,False
Sell,2025-10-17 08:50:00,2025-10-21 07:00:00,Take_Profit,229.59,11336.09,2.59,90.9,4.2,True
Buy,2025-10-21 08:05:00,2025-10-21 08:35:00,Stop_Loss,-82.69,11239.83,3.42,3.1,5.9,False
Sell,2025-10-21 10:50:00,2025-10-24 15:30:00,BE_Matematico,-1.36,11232.93,3.48,53.5,18.0,True
Sell,2025-10-28 07:00:00,2025-10-29 11:55:00,Take_Profit,227.48,11451.83,1.6,38.2,7.0,True
Buy,2025-10-31 08:55:00,2025-10-31 09:55:00,Stop_Loss,-82.85,11358.08,2.41,5.2,7.4,False
Sell,2025-11-03 07:35:00,2025-11-03 08:30:00,Stop_Loss,-82.9,11261.46,3.24,1.7,4.7,False
Sell,2025-11-06 08:00:00,2025-11-06 10:55:00,Stop_Loss,-81.22,11170.62,4.02,5.2,13.1,False
Buy,2025-11-07 14:55:00,2025-11-11 15:55:00,Take_Profit,227.93,11391.82,2.12,49.8,6.3,True
Sell,2025-11-13 16:30:00,2025-11-14 07:00:00,Stop_Loss,-81.24,11304.51,2.87,0.0,20.9,False
Buy,2025-11-14 07:45:00,2025-11-14 08:50:00,BE_Matematico,-2.62,11291.21,2.98,8.9,6.7,True
Sell,2025-11-14 14:00:00,2025-11-14 14:20:00,Stop_Loss,-80.73,11203.58,3.73,0.0,10.4,False
Buy,2025-11-17 07:55:00,2025-11-17 15:05:00,BE_Matematico,-2.63,11190.26,3.85,14.6,7.9,True
Sell,2025-11-18 13:55:00,2025-11-18 14:55:00,Stop_Loss,-80.38,11101.56,4.61,1.6,8.1,False
Buy,2025-11-20 07:30:00,2025-11-20 14:50:00,BE_Matematico,-2.35,11089.72,4.71,14.2,7.2,True
Sell,2025-11-20 15:45:00,2025-11-25 14:40:00,Stop_Loss,-78.14,11009.54,5.4,28.7,31.4,False
Sell,2025-11-26 07:45:00,2025-11-26 08:15:00,Stop_Loss,-79.69,10919.22,6.18,1.4,5.9,False
Buy,2025-11-26 08:55:00,2025-11-26 09:50:00,Stop_Loss,-77.89,10835.44,6.9,5.6,11.1,False
Sell,2025-11-27 07:30:00,2025-11-27 11:10:00,Take_Profit,214.12,11035.93,5.17,23.7,2.6,True
